mass,name,position:0,position:1,position:2,velocity:0,velocity:1,velocity:2
5.84975e+13,,-2.89739e+00,-1.62218e+00,5.84154e-01,3.85810e-03,-7.96296e-03,2.23351e-03
1.98428e+13,,-2.59673e+00,-4.16343e+00,-1.81065e-04,4.37200e-03,-3.10877e-03,8.43496e-04
8.89191e+13,,-2.99029e+00,-2.67525e+00,-6.43227e-01,5.01210e-03,-5.58549e-03,-1.22923e-03
1.53899e+14,,-3.61318e+00,-7.22471e-01,8.98639e-01,1.60682e-03,-7.14081e-03,-3.27816e-03
1.28163e+12,,1.48331e-01,3.09410e-01,1.51165e-01,-3.48129e-02,9.59906e-03,1.09072e-02
6.14253e+13,,-3.32345e+00,-1.81474e-01,7.08133e-01,-1.85106e-04,-8.99500e-03,-1.50978e-03
1.72067e+13,,-3.28765e+00,-1.60432e+00,2.69800e-01,1.85088e-03,-7.88819e-03,-1.90371e-03
5.64925e+13,,-2.93241e+00,-1.64917e+00,-6.67126e-01,3.23240e-03,-8.36064e-03,1.66786e-04
2.88279e+13,,-3.42058e+00,-6.41414e-01,1.14220e-01,1.21574e-03,-8.84165e-03,2.59019e-04
3.64520e+13,,-2.96212e+00,-1.00555e+00,6.10737e-01,2.21433e-03,-9.20922e-03,-1.97184e-03
1.02421e+14,,-2.85620e+00,-2.52007e+00,-5.50783e-01,5.28482e-03,-6.46876e-03,3.20292e-04
2.33237e+13,,-3.41257e+00,-1.75397e+00,1.42322e-01,2.12553e-03,-7.49114e-03,1.41537e-03
4.21080e+13,,-2.94436e+00,-1.40087e+00,3.02260e-01,3.49181e-03,-8.79084e-03,2.25331e-04
2.99559e+13,,-3.33464e+00,-6.91935e-01,-1.63713e-02,1.17718e-03,-8.97117e-03,7.89617e-04
1.36937e+14,,-3.35165e+00,-1.38478e+00,1.78018e+00,3.50031e-03,-6.49458e-03,9.03098e-04
1.00140e+14,,-2.41081e+00,-2.86228e+00,-5.69781e-01,6.26395e-03,-5.75417e-03,1.82178e-04
3.14838e+10,,-3.50848e-01,1.86441e+00,-9.93252e-02,-8.68861e-03,-7.60559e-03,-1.18345e-03
3.73471e+13,,-2.58448e+00,-2.38867e+00,4.70932e-01,5.27594e-03,-6.56788e-03,1.79682e-03
1.37486e+14,,-3.71744e+00,1.94663e-01,-7.93058e-04,2.48087e-04,-8.30994e-03,2.21380e-03
2.11326e+13,,-3.00835e+00,-1.24619e+00,-3.56428e-03,2.46086e-03,-9.07175e-03,1.43502e-03
1.52082e+13,,-1.45874e+00,2.59448e+00,3.70427e-01,-8.42563e-03,-2.32542e-03,-1.00728e-03
1.76941e+11,,-3.87045e-01,2.61951e+00,-1.53557e-01,-8.94452e-03,3.82183e-03,-2.82487e-04
1.38619e+13,,-2.05124e+00,3.22868e+00,8.00187e-01,-6.17894e-03,-1.12024e-03,-1.94596e-03
8.47428e+12,,-1.36069e+00,-2.93196e+00,-1.09697e-01,5.89116e-03,-5.82127e-03,9.10796e-04
3.97970e+12,,-2.79379e-02,2.63115e+00,1.30761e-01,-9.33850e-03,3.44431e-03,-2.40322e-03
1.77596e+14,,-3.48099e+00,1.41405e+00,4.07203e-01,-3.12971e-03,-7.09622e-03,-2.41283e-03
8.95103e+13,,-3.75803e+00,-2.69965e-01,4.44935e-01,2.75386e-04,-7.84061e-03,-1.92172e-03
4.42616e+13,,-3.23187e+00,-1.22207e+00,1.92310e-01,1.85845e-03,-7.84506e-03,-3.74154e-03
4.85505e+12,,6.00323e-02,2.62943e+00,8.89520e-01,-7.46315e-03,3.50161e-03,3.69015e-03
5.88226e+13,,-3.28236e+00,1.64709e+00,-1.39490e-01,-3.37342e-03,-5.81606e-03,-2.19675e-03
4.01200e+13,,-2.41137e+00,-1.89054e+00,6.33748e-03,5.86414e-03,-7.94867e-03,-1.83271e-03
4.73630e+11,,1.17294e+00,8.60980e-02,8.58330e-02,-9.17433e-03,1.58959e-02,-2.00582e-03
7.94176e+11,,-2.71775e+00,-1.95417e+00,2.09789e-01,2.19400e-04,-7.58896e-03,-5.54965e-04
1.10461e+14,,-1.61640e+00,-3.09770e+00,7.47974e-01,7.38012e-03,-3.72058e-03,1.99609e-03
1.01540e+14,,-2.73247e+00,-2.97550e+00,8.81281e-01,5.08526e-03,-5.22551e-03,1.53176e-03
3.77092e+13,,-2.43326e+00,-2.37463e+00,-6.74793e-02,6.11481e-03,-6.45891e-03,-1.62314e-03
3.20544e+13,,-3.54410e+00,-2.33344e+00,-1.66833e+00,3.77690e-03,-4.87771e-03,1.14792e-04
2.88279e+13,,-1.59366e+00,-3.19379e+00,-1.05012e-01,7.22863e-03,-4.41235e-03,-7.08252e-04
1.82402e+14,,-3.53981e+00,-1.57262e+00,-4.19188e-01,3.64000e-03,-7.40223e-03,9.05716e-04
9.52303e+13,,-1.92749e+00,-2.82767e+00,4.32450e-01,7.00262e-03,-4.75185e-03,-2.61773e-03
6.69030e+13,,-2.37099e+00,-2.48237e+00,-5.30918e-01,6.54980e-03,-6.51518e-03,-1.35551e-04
7.59808e+10,,7.76372e-01,1.87359e-01,1.65821e-03,4.97718e-03,2.11999e-02,1.09948e-03
2.23489e+12,,-2.70928e+00,2.24256e+00,-3.57364e+00,-3.59998e-03,-1.42370e-03,1.34725e-03
7.61741e+13,,-3.08462e+00,-6.43621e-01,3.31010e-01,1.17640e-03,-9.52899e-03,-1.87961e-03
1.02421e+14,,-3.29329e+00,-7.59866e-01,-1.17632e+00,9.71988e-04,-8.42238e-03,1.53041e-03
8.63696e+13,,-3.48850e+00,-2.57931e-01,-5.35733e-01,4.29389e-04,-8.61949e-03,1.55200e-03
2.10676e+14,,-3.06214e+00,-6.86877e-01,-1.10243e+00,1.93318e-03,-9.04802e-03,1.23068e-03
1.03071e+14,,-3.38784e+00,-3.71029e-01,6.39222e-01,1.09798e-03,-9.09827e-03,-5.65182e-04
6.92820e+13,,-3.42705e+00,1.14582e+00,1.71933e+00,-1.84150e-03,-7.25488e-03,-7.73640e-04
5.03853e+13,,-2.66988e+00,-1.88360e+00,-4.19071e-01,4.77111e-03,-7.94546e-03,1.10642e-03
6.10489e+13,,-7.82382e-01,-2.99140e+00,3.52804e-01,9.25648e-03,-2.92070e-03,-1.56549e-03
5.70373e+09,,-1.09260e+00,1.40807e+00,-2.86571e-01,-4.63710e-03,-1.05139e-02,4.20219e-03
7.93575e+11,,-1.00662e+00,5.76634e-01,-1.05416e-01,-1.15329e-02,-1.40868e-02,3.11824e-03
1.27808e+11,,4.21502e-01,9.88756e-01,-5.94323e-02,-1.89770e-02,7.44969e-03,4.25771e-04
1.04837e+13,,-2.69765e-01,2.31556e+00,4.06552e-02,-1.10565e-02,1.73986e-03,9.13255e-04
9.09727e+13,,-3.53200e+00,6.97477e-01,1.03200e-01,-1.86229e-03,-7.88663e-03,2.88678e-03
1.54519e+14,,-2.71848e+00,2.14290e+00,-7.73893e-01,-4.37297e-03,-7.36279e-03,-1.71744e-03
1.39241e+13,,2.31435e+00,2.83023e+00,-4.79618e-01,-5.36162e-03,3.99754e-03,-3.44379e-04
1.65871e+14,,-3.10549e+00,6.28404e-01,5.35275e-01,-1.66246e-03,-9.78151e-03,8.45969e-04
4.81069e+13,,-3.53805e+00,-8.81332e-01,-1.40372e+00,1.76122e-03,-7.31766e-03,-1.89682e-03
2.23273e+13,,-2.93294e+00,-2.23700e+00,-4.88406e-01,4.59009e-03,-7.21663e-03,-1.74525e-04
2.86763e+13,,-3.42164e+00,3.76531e-01,-5.19477e-03,-8.66820e-04,-8.83846e-03,1.69359e-03
5.27253e+12,,-3.69122e+00,7.56008e-01,-1.44758e+00,-2.35295e-03,-5.20208e-03,-1.71886e-03
1.43853e+12,,-2.53979e+00,-2.65991e+00,-4.55758e-01,2.46770e-03,-6.50051e-03,5.44367e-04
1.44362e+14,,-3.92437e+00,-9.32125e-01,-7.70508e-01,2.19683e-03,-6.86692e-03,7.25280e-04
8.97799e+13,,-1.39225e+00,-2.97178e+00,1.43008e-01,8.04357e-03,-4.20865e-03,-2.34675e-03
7.28180e+12,,4.65654e+00,-2.52503e+00,6.59785e-01,2.34745e-03,3.66004e-03,4.79726e-04
3.10598e+13,,-2.19206e+00,-3.94954e+00,-2.98543e-01,5.75495e-03,-2.33257e-03,2.16468e-04
4.04681e+13,,-3.35112e+00,-9.46147e-01,-3.17347e-01,1.96482e-03,-8.40817e-03,1.66185e-03
4.70593e+12,,-1.70546e+00,-9.37592e-01,-3.41181e-01,1.26372e-03,-1.28326e-02,3.08056e-03
6.47960e+13,,-1.82417e+00,-2.84904e+00,-3.31387e-01,6.19514e-03,-5.87112e-03,2.79169e-03
2.82720e+13,,2.01829e+00,-3.41142e+00,2.93500e-01,7.06055e-03,2.41236e-03,4.03565e-04
1.74772e+13,,9.63971e-01,-3.91549e+00,7.43971e-01,7.14535e-03,3.91829e-04,4.95299e-04
4.95608e+12,,-4.54281e+00,-3.38014e-01,7.28256e-01,-2.23910e-04,-5.03408e-03,-1.29042e-03
3.28475e+16,,-8.84790e+00,-8.22861e+00,-1.44317e+00,3.06193e-03,-5.53335e-03,-3.25149e-05
2.06792e+11,,1.41690e+00,7.64759e-02,-6.21353e-02,-5.12866e-03,1.49599e-02,-2.16553e-03
2.79015e+13,,-3.13567e+00,5.16851e-01,1.38718e+00,-1.39579e-03,-7.00484e-03,2.34311e-03
1.39955e+11,,8.02560e-01,-6.20073e-01,2.48068e-01,8.49959e-03,1.15202e-02,-4.75944e-03
5.55801e+12,,-8.63569e-01,-5.40100e+00,1.13410e+00,3.49570e-03,-3.49439e-04,3.91126e-04
1.12080e+14,,-2.94434e+00,-1.95269e+00,-7.83783e-04,5.11154e-03,-7.25845e-03,1.44851e-03
